Year,CO2 Emissions (MtCO2),Temperature Anomalies (°C)
1963,0.355,.05
1964,0.341,-.20
1965,0.333,-.11
1966,0.491,-.06
1967,0.44,-.02
1968,0.429,-.08
1969,0.487,.05
1970,8.204,.03
1971,7.511,-.08
1972,9.453,.01
1973,9.973,.16
1974,8.178,-.07
1975,7.075,-.01
1976,6.02,-.10
1977,6.39,.18
1978,9.534,.07
1979,7.434,.16
1980,6.877,.26
1981,2.059,.32
1982,2.665,.14
1983,2.733,.31
1984,1.916,.16
1985,2.594,.12
1986,2.297,.18
1987,3.316,.32
1988,5.712,.39
1989,6.342,.27
1990,5.456,.45
1991,7.211,.40
1992,6.885,.22
1993,6.357,.23
1994,5.553,.31
1995,5.825,.44
1996,5.879,.33
1997,6.087,.46
1998,5.595,.61
1999,5.978,.38
2000,5.329,.39
2001,5.19,.53
2002,4.67,.63
2003,5.598,.62
2004,5.641,.53
2005,5.429,.68
2006,7.144,.64
2007,8.077,.66
2008,9.166,.54
2009,7.745,.66
2010,8.017,.73
2011,9.555,.61
2012,9.5,.65
2013,7.626,.68
2014,8.831,.75
2015,6.933,.90
2016,7.633,1.02
2017,9.309,.92
2018,9.344,.85
2019,10.733,.98
2020,11.102,1.02
2021,11.302,.85
2022,10.754,.90
1881,0.004,-.08
1882,0.004,-.11
1883,0.007,-.17
1884,0.011,-.28
1885,0.007,-.33
1886,0.007,-.31
1887,0.011,-.36
1888,0.018,-.17
1889,0.026,-.11
1890,0.033,-.35
1891,0.04,-.23
1892,0.048,-.28
1893,0.062,-.31
1894,0.081,-.30
1895,0.084,-.23
1896,0.106,-.12
1897,0.11,-.11
1898,0.147,-.28
1899,0.147,-.18
1900,0.216,-.09
1901,0.271,-.16
1902,0.238,-.28
1903,0.234,-.37
1904,0.3,-.48
1905,0.359,-.27
1906,0.315,-.23
1907,0.454,-.39
1908,0.597,-.43
1909,0.605,-.49
1910,0.634,-.44
1911,0.898,-.45
1912,0.898,-.37
1913,0.788,-.35
1914,1.183,-.16
1915,0.762,-.14
1916,0.923,-.36
1917,1.14,-.46
1918,1.422,-.30
1919,0.835,-.28
1920,1.099,-.28
1921,1.367,-.19
1922,1.51,-.28
1923,1.605,-.27
1924,1.843,-.27
1925,1.81,-.22
1926,1.781,-.11
1927,1.817,-.22
1928,2.139,-.20
1929,2.484,-.36
1930,2.403,-.16
1931,2.275,-.09
1932,2.638,-.16
1933,2.348,-.29
1934,2.44,-.12
1935,2.473,-.20
1936,2.513,-.15
1937,2.788,-.03
1938,3.172,.00
1939,3.484,-.02
1940,4.1,.12
1941,4.422,.19
1942,5.349,.07
1943,5.811,.09
1944,4.389,.20
1945,5.209,.09
1946,4.976,-.07
1947,5.91,-.03
1948,6.22,-.11
1949,7.453,-.11
1950,7.498,-.17
1951,8.165,-.07
1952,9.428,.01
1953,10.586,.08
1954,11.392,-.13
1955,12.092,-.14
1956,12.967,-.19
1957,14.389,.05
1958,15.627,.06
1959,19.622,.03
1960,22.271,-.03
1961,25.945,.06
1962,30.704,.03
1963,34.374,.05
1964,42.818,-.20
1965,46.269,-.11
1966,48.716,-.06
1967,55.108,-.02
1968,59.464,-.08
1969,66.308,.05
1970,61.174,.03
1971,64.222,-.08
1972,66.079,.01
1973,68.717,.16
1974,71.137,-.07
1975,72.922,-.01
1976,72.965,-.10
1977,75.796,.18
1978,81.207,.07
1979,78.928,.16
1980,77.251,.26
1981,80.087,.32
1982,89.844,.14
1983,90.061,.31
1984,87.045,.16
1985,89.221,.12
1986,91.172,.18
1987,91.273,.32
1988,86.913,.39
1989,86.482,.27
1990,76.638,.45
1991,61.456,.40
1992,57.306,.22
1993,58.364,.23
1994,56.367,.31
1995,57.909,.44
1996,58.46,.33
1997,55.809,.46
1998,53.115,.61
1999,46.318,.38
2000,45.413,.39
2001,48.922,.53
2002,46.099,.63
2003,50.474,.62
2004,49.526,.53
2005,50.598,.68
2006,51.837,.64
2007,55.684,.66
2008,54.022,.54
2009,45.76,.66
2010,47.808,.73
2011,53.125,.61
2012,48.29,.65
2013,42.587,.68
2014,45.162,.75
2015,48.121,.90
2016,45.337,1.02
2017,47.431,.92
2018,43.48,.85
2019,42.233,.98
2020,36.534,1.02
2021,42.282,.85
2022,46.147,.90
1950,0.004,-.17
1951,0.003,-.07
1952,0.004,.01
1953,0.003,.08
1954,0.004,-.13
1955,0.004,-.14
1956,0.004,-.19
1957,0.004,.05
1958,0.004,.06
1959,0.007,.03
1960,0.044,-.03
1961,0.092,.06
1962,0.084,.03
1963,0.088,.05
1964,0.11,-.20
1965,0.103,-.11
1966,0.103,-.06
1967,0.103,-.02
1968,0.103,-.08
1969,0.121,.05
1970,0.143,.03
1971,0.15,-.08
1972,0.161,.01
1973,0.169,.16
1974,0.205,-.07
1975,0.22,-.01
1976,0.209,-.10
1977,0.249,.18
1978,0.348,.07
1979,0.407,.16
1980,0.432,.26
1981,0.557,.32
1982,0.575,.14
1983,0.594,.31
1984,0.465,.16
1985,0.476,.12
1986,0.48,.18
1987,0.517,.32
1988,0.553,.39
1989,0.821,.27
1990,0.583,.45
1991,0.627,.40
1992,0.63,.22
1993,0.627,.23
1994,0.645,.31
1995,0.624,.44
1996,0.705,.33
1997,0.804,.46
1998,0.859,.61
1999,0.916,.38
2000,1.03,.39
2001,0.991,.53
2002,1.001,.63
2003,1.075,.62
2004,1.1,.53
2005,1.122,.68
2006,1.36,.64
2007,1.591,.66
2008,1.734,.54
2009,1.829,.66
2010,2.036,.73
2011,2.131,.61
2012,2.619,.65
2013,2.864,.68
2014,2.911,.75
2015,3.715,.90
2016,3.904,1.02
2017,4.519,.92
2018,5.01,.85
2019,5.508,.98
2020,5.194,1.02
2021,5.879,.85
2022,5.962,.90
1950,0.009,-.17
1951,0.009,-.07
1952,0.016,.01
1953,0.015,.08
1954,0.006,-.13
1955,0.008,-.14
1956,0.009,-.19
1957,0.01,.05
1958,0.01,.06
1959,0.039,.03
1960,0.036,-.03
1961,0.048,.06
1962,0.044,.03
1963,0.048,.05
1964,0.048,-.20
1965,0.037,-.11
1966,0.048,-.06
1967,0.048,-.02
1968,0.055,-.08
1969,0.073,.05
1970,0.062,.03
1971,0.073,-.08
1972,0.073,.01
1973,0.073,.16
1974,0.092,-.07
1975,0.077,-.01
1976,0.088,-.10
1977,0.099,.18
1978,0.103,.07
1979,0.11,.16
1980,0.147,.26
1981,0.158,.32
1982,0.158,.14
1983,0.205,.31
1984,0.22,.16
1985,0.231,.12
1986,0.234,.18
1987,0.249,.32
1988,0.227,.39
1989,0.267,.27
1990,0.209,.45
1991,0.238,.40
1992,0.216,.22
1993,0.227,.23
1994,0.234,.31
1995,0.238,.44
1996,0.242,.33
1997,0.249,.46
1998,0.249,.61
1999,0.253,.38
2000,0.271,.39
2001,0.205,.53
2002,0.213,.63
2003,0.161,.62
2004,0.198,.53
2005,0.154,.68
2006,0.183,.64
2007,0.202,.66
2008,0.209,.54
2009,0.169,.66
2010,0.297,.73
2011,0.341,.61
2012,0.352,.65
2013,0.359,.68
2014,0.348,.75
2015,0.355,.90
2016,0.429,1.02
2017,0.513,.92
2018,0.645,.85
2019,0.689,.98
2020,0.736,1.02
2021,0.8,.85
2022,0.798,.90
1955,0.103,-.14
1956,0.132,-.19
1957,0.161,.05
1958,0.198,.06
1959,0.213,.03
1960,0.234,-.03
1961,0.286,.06
1962,0.308,.03
1963,0.388,.05
1964,0.341,-.20
1965,0.403,-.11
1966,0.469,-.06
1967,0.417,-.02
1968,0.491,-.08
1969,1.344,.05
1970,1.172,.03
1971,0.249,-.08
1972,0.117,.01
1973,0.129,.16
1974,0.074,-.07
1975,0.074,-.01
1976,0.074,-.10
1977,0.074,.18
1978,0.051,.07
1979,0.029,.16
1980,0.286,.26
1981,0.3,.32
1982,0.337,.14
1983,0.366,.31
1984,0.41,.16
1985,0.418,.12
1986,0.432,.18
1987,0.436,.32
1988,0.451,.39
1989,0.451,.27
1990,1.26,.45
1991,1.304,.40
1992,1.348,.22
1993,1.385,.23
1994,1.482,.31
1995,1.555,.44
1996,1.631,.33
1997,1.552,.46
1998,1.963,.61
1999,1.894,.38
2000,1.975,.39
2001,2.25,.53
2002,2.206,.63
2003,2.378,.62
2004,2.444,.53
2005,2.774,.68
2006,2.997,.64
2007,3.471,.66
2008,3.867,.54
2009,4.557,.66
2010,5.078,.73
2011,5.275,.61
2012,5.576,.65
2013,5.637,.68
2014,6.834,.75
2015,8.366,.90
2016,10.922,1.02
2017,12.476,.92
2018,13.934,.85
2019,18.22,.98
2020,19.034,1.02
2021,20.13,.85
2022,19.955,.90
1950,0.139,-.17
1951,0.183,-.07
1952,0.282,.01
1953,0.202,.08
1954,0.231,-.13
1955,0.234,-.14
1956,0.238,-.19
1957,0.256,.05
1958,0.278,.06
1959,0.278,.03
1960,0.271,-.03
1961,0.282,.06
1962,0.289,.03
1963,0.3,.05
1964,0.337,-.20
1965,0.311,-.11
1966,0.344,-.06
1967,0.458,-.02
1968,0.506,-.08
1969,0.572,.05
1970,0.637,.03
1971,0.809,-.08
1972,0.86,.01
1973,0.897,.16
1974,0.974,-.07
1975,1.161,-.01
1976,1.089,-.10
1977,1.559,.18
1978,1.993,.07
1979,1.815,.16
1980,3.886,.26
1981,5.319,.32
1982,6.316,.14
1983,6.554,.31
1984,6.053,.16
1985,6.471,.12
1986,1.993,.18
1987,1.843,.32
1988,2.154,.39
1989,7.578,.27
1990,2.605,.45
1991,2.668,.40
1992,2.712,.22
1993,2.866,.23
1994,4.88,.31
1995,5.375,.44
1996,5.975,.33
1997,5.379,.46
1998,5.373,.61
1999,5.219,.38
2000,5.589,.39
2001,5.562,.53
2002,5.351,.63
2003,5.705,.62
2004,5.698,.53
2005,5.424,.68
2006,5.486,.64
2007,7.409,.66
2008,7.321,.54
2009,8.555,.66
2010,8.383,.73
2011,8.105,.61
2012,7.603,.65
2013,7.85,.68
2014,8.772,.75
2015,9.851,.90
2016,9.958,1.02
2017,9.578,.92
2018,9.645,.85
2019,9.592,.98
2020,9.702,1.02
2021,10.298,.85
2022,9.573,.90
1880,5.232,-.16
1881,5.591,-.08
1882,6.617,-.11
1883,7.431,-.17
1884,8.599,-.28
1885,8.244,-.33
1886,8.797,-.31
1887,10.149,-.36
1888,13.311,-.17
1889,11.292,-.11
1890,12.414,-.35
1891,13.942,-.23
1892,13.89,-.28
1893,14.854,-.31
1894,14.18,-.30
1895,13.531,-.23
1896,14.649,-.12
1897,14.799,-.11
1898,15.708,-.28
1899,19.17,-.18
1900,20.628,-.09
1901,23.845,-.16
1902,25.648,-.28
1903,27.96,-.37
1904,33.097,-.48
1905,35.387,-.27
1906,37.387,-.23
1907,46.991,-.39
1908,47.408,-.43
1909,45.386,-.49
1910,51.622,-.44
1911,60.269,-.45
1912,67.271,-.37
1913,79.282,-.35
1914,68.381,-.16
1915,61.116,-.14
1916,76.457,-.36
1917,85.243,-.46
1918,89.519,-.30
1919,76.09,-.28
1920,84.378,-.28
1921,80.483,-.19
1922,69.209,-.28
1923,92.981,-.27
1924,77.384,-.27
1925,75.248,-.22
1926,84.756,-.11
1927,91.999,-.22
1928,93.777,-.20
1929,99.03,-.36
1930,94.348,-.16
1931,75.849,-.09
1932,70.207,-.16
1933,69.483,-.29
1934,79.913,-.12
1935,78.796,-.20
1936,86.163,-.15
1937,93.483,-.03
1938,85.544,.00
1939,95.004,-.02
1940,108.622,.12
1941,120.152,.19
1942,131.077,.07
1943,138.062,.09
1944,140.407,.20
1945,130.521,.09
1946,138.422,-.07
1947,143.548,-.03
1948,158.507,-.11
1949,145.022,-.11
1950,154.134,-.17
1951,162.678,-.07
1952,159.409,.01
1953,160.608,.08
1954,162.968,-.13
1955,169.473,-.14
1956,189.802,-.19
1957,182.811,.05
1958,182.155,.06
1959,184.481,.03
1960,192.716,-.03
1961,194.001,.06
1962,206.991,.03
1963,210.911,.05
1964,237.578,-.20
1965,251.917,-.11
1966,259.074,-.06
1967,281.637,-.02
1968,303.261,-.08
1969,307.119,.05
1970,341.177,.03
1971,352.287,-.08
1972,380.792,.01
1973,381.273,.16
1974,389.617,-.07
1975,396.787,-.01
1976,398.962,-.10
1977,407.79,.18
1978,415.529,.07
1979,441.677,.16
1980,442.847,.26
1981,429.63,.32
1982,414.455,.14
1983,408.339,.31
1984,425.233,.16
1985,421.719,.12
1986,404.708,.18
1987,430.982,.32
1988,455.669,.39
1989,462.885,.27
1990,458.503,.45
1991,450.16,.40
1992,464.013,.22
1993,464.554,.23
1994,479.033,.31
1995,491.826,.44
1996,508.197,.33
1997,522.577,.46
1998,530.276,.61
1999,544.482,.38
2000,567.096,.39
2001,559.147,.53
2002,564.374,.63
2003,581.427,.62
2004,579.689,.53
2005,574.764,.68
2006,568.585,.64
2007,593.755,.66
2008,576.809,.54
2009,544.14,.66
2010,556.062,.73
2011,565.254,.61
2012,565.782,.65
2013,569.54,.68
2014,566.353,.75
2015,570.68,.90
2016,557.69,1.02
2017,566.652,.92
2018,577.066,.85
2019,578.588,.98
2020,522.845,1.02
2021,537.174,.85
2022,547.944,.90
1950,0.103,-.17
1951,0.077,-.07
1952,0.037,.01
1953,0.018,.08
1954,0.022,-.13
1955,0.022,-.14
1956,0.029,-.19
1957,0.018,.05
1958,0.015,.06
1959,0.018,.03
1960,0.022,-.03
1961,0.022,.06
1962,0.018,.03
1963,0.015,.05
1964,0.029,-.20
1965,0.026,-.11
1966,0.022,-.06
1967,0.018,-.02
1968,0.029,-.08
1969,0.037,.05
1970,0.037,.03
1971,0.037,-.08
1972,0.051,.01
1973,0.062,.16
1974,0.066,-.07
1975,0.077,-.01
1976,0.073,-.10
1977,0.081,.18
1978,0.209,.07
1979,0.249,.16
1980,0.121,.26
1981,0.033,.32
1982,0.037,.14
1983,0.037,.31
1984,0.084,.16
1985,0.084,.12
1986,0.059,.18
1987,0.081,.32
1988,0.073,.39
1989,0.081,.27
1990,0.18,.45
1991,0.165,.40
1992,0.18,.22
1993,0.172,.23
1994,0.176,.31
1995,0.198,.44
1996,0.216,.33
1997,0.227,.46
1998,0.242,.61
1999,0.289,.38
2000,0.297,.39
2001,0.348,.53
2002,0.381,.63
2003,0.414,.62
2004,0.425,.53
2005,0.447,.68
2006,0.495,.64
2007,0.506,.66
2008,0.469,.54
2009,0.52,.66
2010,0.557,.73
2011,0.616,.61
2012,0.502,.65
2013,0.495,.68
2014,0.487,.75
2015,0.491,.90
2016,0.495,1.02
2017,0.509,.92
2018,0.539,.85
2019,0.561,.98
2020,0.517,1.02
2021,0.559,.85
2022,0.569,.90
1950,0.047,-.17
1951,0.063,-.07
1952,0.081,.01
1953,0.069,.08
1954,0.072,-.13
1955,0.072,-.14
1956,0.093,-.19
1957,0.1,.05
1958,0.115,.06
1959,0.099,.03
1960,0.088,-.03
1961,0.088,.06
1962,0.073,.03
1963,0.073,.05
1964,0.073,-.20
1965,0.088,-.11
1966,0.084,-.06
1967,0.092,-.02
1968,0.183,-.08
1969,0.187,.05
1970,0.209,.03
1971,0.183,-.08
1972,0.169,.01
1973,0.161,.16
1974,0.114,-.07
1975,0.103,-.01
1976,0.128,-.10
1977,0.128,.18
1978,0.147,.07
1979,0.103,.16
1980,0.106,.26
1981,0.136,.32
1982,0.143,.14
1983,0.147,.31
1984,0.15,.16
1985,0.161,.12
1986,0.161,.18
1987,0.26,.32
1988,0.231,.39
1989,0.249,.27
1990,0.183,.45
1991,0.191,.40
1992,0.194,.22
1993,0.198,.23
1994,0.209,.31
1995,0.209,.44
1996,0.213,.33
1997,0.216,.46
1998,0.22,.61
1999,0.231,.38
2000,0.234,.39
2001,0.245,.53
2002,0.242,.63
2003,0.224,.62
2004,0.22,.53
2005,0.216,.68
2006,0.227,.64
2007,0.231,.66
2008,0.165,.54
2009,0.161,.66
2010,0.169,.73
2011,0.187,.61
2012,0.191,.65
2013,0.117,.68
2014,0.125,.75
2015,0.18,.90
2016,0.198,1.02
2017,0.216,.92
2018,0.22,.85
2019,0.227,.98
2020,0.238,1.02
2021,0.249,.85
2022,0.226,.90
1880,0.0,-.16
1881,0.0,-.08
1882,0.0,-.11
1883,0.0,-.17
1884,0.0,-.28
1885,0.0,-.33
1886,0.0,-.31
1887,0.0,-.36
1888,0.0,-.17
1889,0.0,-.11
1890,0.0,-.35
1891,0.0,-.23
1892,0.0,-.28
1893,0.0,-.31
1894,0.0,-.30
1895,0.0,-.23
1896,0.0,-.12
1897,0.0,-.11
1898,0.0,-.28
1899,0.0,-.18
1900,0.0,-.09
1901,0.0,-.16
1902,0.0,-.28
1903,0.0,-.37
1904,0.0,-.48
1905,0.0,-.27
1906,0.0,-.23
1907,0.0,-.39
1908,0.0,-.43
1909,0.026,-.49
1910,0.066,-.44
1911,0.125,-.45
1912,0.198,-.37
1913,0.224,-.35
1914,0.289,-.16
1915,0.333,-.14
1916,0.414,-.36
1917,0.528,-.46
1918,0.769,-.30
1919,0.649,-.28
1920,0.868,-.28
1921,1.0,-.19
1922,0.982,-.28
1923,1.209,-.27
1924,1.656,-.27
1925,1.946,-.22
1926,2.559,-.11
1927,2.74,-.22
1928,4.718,-.20
1929,5.451,-.36
1930,6.064,-.16
1931,5.081,-.09
1932,5.217,-.16
1933,6.168,-.29
1934,7.1,-.12
1935,7.687,-.20
1936,8.565,-.15
1937,10.544,-.03
1938,11.914,.00
1939,12.793,-.02
1940,13.431,.12
1941,13.273,.19
1942,12.675,.07
1943,13.467,.09
1944,14.75,.20
1945,15.656,.09
1946,16.172,-.07
1947,17.947,-.03
1948,18.752,-.11
1949,14.013,-.11
1950,18.633,-.17
1951,24.466,-.07
1952,20.391,.01
1953,21.596,.08
1954,29.455,-.13
1955,28.417,-.14
1956,32.029,-.19
1957,35.252,.05
1958,39.264,.06
1959,40.125,.03
1960,35.898,-.03
1961,37.988,.06
1962,44.554,.03
1963,38.589,.05
1964,45.139,-.20
1965,44.798,-.11
1966,44.665,-.06
1967,49.487,-.02
1968,50.967,-.08
1969,56.737,.05
1970,67.237,.03
1971,71.472,-.08
1972,75.208,.01
1973,85.774,.16
1974,84.963,-.07
1975,88.308,-.01
1976,103.739,-.10
1977,100.478,.18
1978,97.643,.07
1979,101.27,.16
1980,100.375,.26
1981,94.043,.32
1982,96.153,.14
1983,86.398,.31
1984,95.264,.16
1985,101.253,.12
1986,86.302,.18
1987,91.277,.32
1988,91.241,.39
1989,96.742,.27
1990,92.636,.45
1991,91.653,.40
1992,90.191,.22
1993,90.625,.23
1994,94.299,.31
1995,101.098,.44
1996,106.773,.33
1997,113.347,.46
1998,113.675,.61
1999,118.948,.38
2000,130.723,.39
2001,135.901,.53
2002,140.477,.63
2003,147.433,.62
2004,144.302,.53
2005,153.017,.68
2006,163.226,.64
2007,168.23,.66
2008,167.634,.54
2009,165.844,.66
2010,173.014,.73
2011,172.931,.61
2012,171.981,.65
2013,172.473,.68
2014,175.593,.75
2015,182.664,.90
2016,176.605,1.02
2017,173.209,.92
2018,173.434,.85
2019,179.453,.98
2020,154.758,1.02
2021,162.532,.85
2022,161.836,.90
1950,0.03,-.17
1951,0.039,-.07
1952,0.051,.01
1953,0.043,.08
1954,0.046,-.13
1955,0.045,-.14
1956,0.059,-.19
1957,0.063,.05
1958,0.072,.06
1959,0.062,.03
1960,0.055,-.03
1961,0.051,.06
1962,0.084,.03
1963,0.092,.05
1964,0.099,-.20
1965,0.106,-.11
1966,0.084,-.06
1967,0.117,-.02
1968,0.125,-.08
1969,0.161,.05
1970,0.125,.03
1971,0.15,-.08
1972,0.121,.01
1973,0.161,.16
1974,0.15,-.07
1975,0.183,-.01
1976,0.183,-.10
1977,0.198,.18
1978,0.194,.07
1979,0.202,.16
1980,0.209,.26
1981,0.209,.32
1982,0.205,.14
1983,0.205,.31
1984,0.216,.16
1985,0.18,.12
1986,0.187,.18
1987,0.198,.32
1988,0.066,.39
1989,0.103,.27
1990,0.377,.45
1991,0.385,.40
1992,0.407,.22
1993,0.403,.23
1994,0.412,.31
1995,0.427,.44
1996,0.443,.33
1997,0.453,.46
1998,0.464,.61
1999,0.477,.38
2000,0.488,.39
2001,0.506,.53
2002,0.528,.63
2003,0.882,.62
2004,0.903,.53
2005,0.926,.68
2006,0.961,.64
2007,1.089,.66
2008,0.872,.54
2009,1.216,.66
2010,1.236,.73
2011,1.273,.61
2012,1.743,.65
2013,2.078,.68
2014,2.183,.75
2015,2.352,.90
2016,2.374,1.02
2017,2.344,.92
2018,2.384,.85
2019,2.303,.98
2020,2.279,1.02
2021,2.467,.85
2022,2.369,.90
1895,0.524,-.23
1896,0.535,-.12
1897,0.638,-.11
1898,0.74,-.28
1899,0.634,-.18
1900,0.85,-.09
1901,1.568,-.16
1902,1.96,-.28
1903,2.162,-.37
1904,1.968,-.48
1905,2.077,-.27
1906,2.44,-.23
1907,2.18,-.39
1908,2.459,-.43
1909,2.352,-.49
1910,2.81,-.44
1911,3.107,-.45
1912,3.462,-.37
1913,3.356,-.35
1914,2.843,-.16
1915,3.067,-.14
1916,3.708,-.36
1917,4.027,-.46
1918,3.968,-.30
1919,3.884,-.28
1920,2.781,-.28
1921,3.334,-.19
1922,2.755,-.28
1923,3.045,-.27
1924,4.027,-.27
1925,3.8,-.22
1926,3.902,-.11
1927,3.877,-.22
1928,3.656,-.20
1929,4.015,-.36
1930,3.85,-.16
1931,2.927,-.09
1932,2.894,-.16
1933,4.092,-.29
1934,4.828,-.12
1935,5.11,-.20
1936,5.026,-.15
1937,5.279,-.03
1938,5.527,.00
1939,5.007,-.02
1940,5.26,.12
1941,5.568,.19
1942,5.806,.07
1943,6.11,.09
1944,6.139,.20
1945,5.641,.09
1946,5.431,-.07
1947,5.706,-.03
1948,6.208,-.11
1949,5.875,-.11
1950,8.451,-.17
1951,9.982,-.07
1952,10.604,.01
1953,10.403,.08
1954,11.08,-.13
1955,11.597,-.14
1956,11.832,-.19
1957,11.726,.05
1958,12.451,.06
1959,12.703,.03
1960,13.476,-.03
1961,14.455,.06
1962,16.707,.03
1963,17.337,.05
1964,17.505,-.20
1965,17.747,-.11
1966,18.772,-.06
1967,19.238,-.02
1968,21.202,-.08
1969,22.531,.05
1970,24.636,.03
1971,27.056,-.08
1972,28.139,.01
1973,27.588,.16
1974,25.878,-.07
1975,22.947,-.01
1976,24.029,-.10
1977,23.017,.18
1978,22.842,.07
1979,24.73,.16
1980,25.1,.26
1981,24.347,.32
1982,20.475,.14
1983,20.674,.31
1984,22.005,.16
1985,21.292,.12
1986,22.022,.18
1987,22.41,.32
1988,26.6,.39
1989,32.018,.27
1990,32.908,.45
1991,30.892,.40
1992,32.001,.22
1993,34.098,.23
1994,37.975,.31
1995,41.563,.44
1996,48.226,.33
1997,55.942,.46
1998,57.258,.61
1999,61.408,.38
2000,58.503,.39
2001,52.918,.53
2002,54.836,.63
2003,55.1,.62
2004,59.228,.53
2005,61.127,.68
2006,64.052,.64
2007,70.476,.66
2008,70.553,.54
2009,65.96,.66
2010,71.348,.73
2011,78.071,.61
2012,79.621,.65
2013,81.737,.68
2014,77.59,.75
2015,81.782,.90
2016,84.25,1.02
2017,84.138,.92
2018,84.439,.85
2019,91.977,.98
2020,80.178,1.02
2021,89.037,.85
2022,84.378,.90
1907,19.894,-.39
1908,22.736,-.43
1909,24.252,-.49
1910,25.009,-.44
1911,24.631,-.45
1912,17.029,-.37
1913,24.252,-.35
1914,26.718,-.16
1915,25.421,-.14
1916,30.131,-.36
1917,32.023,-.46
1918,34.748,-.30
1919,37.997,-.28
1920,40.278,-.28
1921,38.763,-.19
1922,39.972,-.28
1923,46.518,-.27
1924,48.846,-.27
1925,45.955,-.22
1926,43.66,-.11
1927,45.809,-.22
1928,47.591,-.20
1929,48.282,-.36
1930,49.558,-.16
1931,51.905,-.09
1932,50.269,-.16
1933,54.111,-.29
1934,62.383,-.12
1935,72.646,-.20
1936,75.477,-.15
1937,70.969,-.03
1938,61.366,.00
1939,74.427,-.02
1940,90.791,.12
1941,113.979,.19
1942,127.613,.07
1943,108.995,.09
1944,103.004,.20
1945,55.892,.09
1946,36.107,-.07
1947,41.836,-.03
1948,38.4,-.11
1949,62.081,-.11
1950,78.835,-.17
1951,102.115,-.07
1952,127.999,.01
1953,133.783,.08
1954,160.877,-.13
1955,190.521,-.14
1956,215.824,-.19
1957,255.785,.05
1958,524.617,.06
1959,720.152,.03
1960,798.8,-.03
1961,570.63,.06
1962,459.618,.03
1963,456.779,.05
1964,460.637,-.20
1965,500.286,-.11
1966,549.459,-.06
1967,460.226,-.02
1968,495.507,-.08
1969,607.683,.05
1970,807.953,.03
1971,909.21,-.08
1972,968.646,.01
1973,1008.293,.16
1974,1028.1,-.07
1975,1183.215,-.01
1976,1226.421,-.10
1977,1340.831,.18
1978,1492.778,.07
1979,1525.661,.16
1980,1494.496,.26
1981,1476.488,.32
1982,1606.585,.14
1983,1694.217,.31
1984,1844.828,.16
1985,1998.083,.12
1986,2104.213,.18
1987,2257.739,.32
1988,2425.894,.39
1989,2463.654,.27
1990,2484.855,.45
1991,2606.096,.40
1992,2730.788,.22
1993,2921.651,.23
1994,3103.739,.31
1995,3361.637,.44
1996,3508.818,.33
1997,3515.594,.46
1998,3364.587,.61
1999,3557.275,.38
2000,3649.201,.39
2001,3728.513,.53
2002,4103.042,.63
2003,4841.119,.62
2004,5217.351,.53
2005,5882.143,.68
2006,6494.338,.64
2007,6983.577,.66
2008,7501.498,.54
2009,7891.089,.66
2010,8620.627,.73
2011,9532.409,.61
2012,9779.354,.65
2013,9956.376,.68
2014,9998.674,.75
2015,9866.951,.90
2016,9765.029,1.02
2017,10011.151,.92
2018,10353.935,.85
2019,10721.042,.98
2020,10914.012,1.02
2021,11336.233,.85
2022,11396.777,.90
1970,0.07,.03
1971,0.084,-.08
1972,0.084,.01
1973,0.07,.16
1974,0.125,-.07
1975,0.136,-.01
1976,0.125,-.10
1977,0.092,.18
1978,0.092,.07
1979,0.099,.16
1980,0.099,.26
1981,0.103,.32
1982,0.073,.14
1983,0.081,.31
1921,0.029,-.19
1922,0.143,-.28
1923,0.187,-.27
1924,0.198,-.27
1925,0.443,-.22
1926,0.846,-.11
1927,0.824,-.22
1928,1.348,-.20
1929,1.29,-.36
1930,0.652,-.16
1931,0.33,-.09
1932,0.081,-.16
1933,0.535,-.29
1934,0.736,-.12
1935,2.403,-.20
1936,2.784,-.15
1937,2.784,-.03
1938,3.004,.00
1939,4.638,-.02
1940,4.165,.12
1941,3.733,.19
1942,4.165,.07
1943,3.733,.09
1944,4.74,.20
1945,4.48,.09
1946,4.96,-.07
1947,5.062,-.03
1948,4.483,-.11
1949,5.135,-.11
1950,7.498,-.17
1951,8.164,-.07
1952,8.633,.01
1953,10.761,.08
1954,9.621,-.13
1955,11.944,-.14
1956,12.599,-.19
1957,13.651,.05
1958,13.977,.06
1959,16.087,.03
1960,16.39,-.03
1961,18.196,.06
1962,19.419,.03
1963,21.233,.05
1964,21.683,-.20
1965,22.859,-.11
1966,23.474,-.06
1967,24.687,-.02
1968,26.573,-.08
1969,28.016,.05
1970,28.37,.03
1971,30.281,-.08
1972,31.425,.01
1973,33.631,.16
1974,36.394,-.07
1975,35.809,-.01
1976,37.98,-.10
1977,39.241,.18
1978,41.534,.07
1979,44.267,.16
1980,44.174,.26
1981,44.26,.32
1982,45.679,.14
1983,49.21,.31
1984,48.702,.16
1985,48.079,.12
1986,48.754,.18
1987,50.124,.32
1988,52.017,.39
1989,52.793,.27
1990,56.898,.45
1991,56.654,.40
1992,61.495,.22
1993,63.338,.23
1994,67.037,.31
1995,59.421,.44
1996,59.913,.33
1997,65.256,.46
1998,65.799,.61
1999,55.476,.38
2000,56.591,.39
2001,56.848,.53
2002,55.901,.63
2003,57.378,.62
2004,54.647,.53
2005,60.162,.68
2006,62.304,.64
2007,60.491,.66
